Debden,51.645492,0.083801
Denmark Hill,51.468201,-0.090988
Deptford,51.47889,-0.026196
Deptford Bridge,51.474477,-0.022052
Devons Road,51.522258,-0.018008
Dollis Hill,51.551851,-0.238798
Drayton Green,51.516005,-0.329611
Drayton Park,51.553078,-0.10577
Dundonald Road,51.417398,-0.207527
Ealing Broadway,51.514862,-0.30201
Ealing Common,51.510249,-0.287151
Earls Court,51.491357,-0.194314
Earlsfield,51.442239,-0.187273
East Acton,51.516263,-0.248112
East Croydon,51.375716,-0.091863
East Dulwich,51.461626,-0.080437
East Finchley,51.587333,-0.164744
East Ham,51.539246,0.051516
East India,51.508684,-0.00237
East Putney,51.45888,-0.210998
Eastcote,51.576552,-0.396823
Eden Park,51.390796,-0.02667
Edgware,51.61423,-0.275094
Edgware Road (Bakerloo),51.520645,-0.17054
Edgware Road (Circle/District/Hammersmith and City),51.519998,-0.167668
Edmonton Green,51.625116,-0.061639
Elephant and Castle,51.495849,-0.100739
Elm Park,51.549125,0.197253
Elmers End,51.398291,-0.049464
Elmstead Woods,51.417081,0.044229
Elstree and Borehamwood,51.652876,-0.279829
Eltham,51.455662,0.052329
Elverson Road,51.468372,-0.016816
Embankment,51.507312,-0.122367
Emerson Park,51.569115,0.220223
Enfield Chase,51.652722,-0.090704
Enfield Lock,51.670846,-0.028391
Enfield Town,51.65197,-0.07933
Epping,51.693686,0.113826
Epsom Downs,51.323659,-0.23897
Erith,51.481648,0.174261
Essex Road,51.540633,-0.096366
Euston,51.528664,-0.133296
Euston Square,51.528664,-0.133296
Ewell East,51.345244,-0.241503
Ewell West,51.349991,-0.257089
Fairlop,51.59611,0.090593
Falconwood,51.459086,0.07851
Farringdon,51.520196,-0.104843
Feltham,51.447879,-0.409824
Fenchurch Street,51.511567,-0.078554
Fieldway,51.351317,-0.024503
Finchley Central,51.600903,-0.193221
Finchley Road,51.547096,-0.180051
Finchley Road and Frognal,51.550119,-0.183651
Finsbury Park,51.564635,-0.105881
Forest Gate,51.549316,0.024189
Forest Hill,51.439308,-0.053329
Fulham Broadway,51.480261,-0.195544
Fulwell,51.433943,-0.349439
Gallions Reach,51.509034,0.071775
Gants Hill,51.576553,0.066084
George Street,51.373966,-0.098718
Gidea Park,51.581866,0.205977
Gipsy Hill,51.42447,-0.083835
Gloucester Road,51.4945,-0.183544
Golders Green,51.572216,-0.194835
Goldhawk Road,51.502077,-0.227404
Goodge Street,51.520613,-0.134808
Goodmayes,51.566181,0.11173
Gordon Hill,51.663502,-0.094473
Gospel Oak,51.555405,-0.151301
Grange Hill,51.61348,0.092273
Grange Park,51.642623,-0.097314
Gravel Hill,51.354543,-0.043122
Great Portland Street,51.523789,-0.143961
Green Park,51.50676,-0.142478
Greenford,51.54198,-0.345879
Greenwich,51.477548,-0.014863
Grove Park,51.430433,0.022599
Gunnersbury,51.491863,-0.275164
Hackbridge,51.377861,-0.153879
Hackney Central,51.547257,-0.05559
Hackney Downs,51.549078,-0.060185
Hackney Wick,51.543558,-0.025259
Hadley Wood,51.668403,-0.176581
Haggerston,51.538685,-0.075595
Hainault,51.602845,0.094109
Hammersmith (District),51.49182,-0.222861
Hammersmith (Met.),51.493483,-0.22464
Hampstead,51.556543,-0.178015
Hampstead Heath,51.5552,-0.164566
Hampton,51.41588,-0.372135
Hampton Court,51.402294,-0.342757
Hampton Wick,51.41464,-0.313104
Hanger Lane,51.530072,-0.292996
Hanwell,51.512186,-0.338052
Harlesden,51.536258,-0.257496
Harold Wood,51.593202,0.234204
Harringay,51.577358,-0.105208
Harringay Green Lanes,51.577146,-0.098217
Harrington Road,51.399791,-0.0607
Harrow and Wealdstone,51.592595,-0.334253
Harrow-on-the-Hill,51.579388,-0.337002
Hatch End,51.609829,-0.369179
Hatton Cross,51.466685,-0.423381
Haydons Road,51.425457,-0.188929
Hayes,51.375737,0.010143
Hayes and Harlington,51.503049,-0.420642
Headstone Lane,51.6025,-0.356908
Heathrow Terminal 4,51.45978,-0.44773
Heathrow Terminal 5,51.470025,-0.490647
Heathrow Terminals 1 2 3,51.471289,-0.452407
Hendon,51.580075,-0.238631
Hendon Central,51.583133,-0.226734
Herne Hill,51.453991,-0.102563
Heron Quays,51.503387,-0.021954
High Barnet,51.651688,-0.194165
High Street Kensington,51.500729,-0.191566
Highams Park,51.608356,-0.000135
Highbury and Islington,51.546496,-0.104082
Highgate,51.577647,-0.146935
Hillingdon,51.553778,-0.449898
Hither Green,51.452402,-0.000971
Holborn,51.517236,-0.119841
Holland Park,51.507146,-0.206558
Holloway Road,51.552816,-0.112936
Homerton,51.546595,-0.038512
Honor Oak Park,51.450648,-0.044153
Hornchurch,51.554355,0.218927
Hornsey,51.586475,-0.111816
Hounslow,51.462505,-0.361796
Hounslow Central,51.470926,-0.365958
Hounslow East,51.473708,-0.355275
Hounslow West,51.473106,-0.385708
Hoxton,51.531392,-0.075586
Hyde Park Corner,51.502584,-0.152474
Ickenham,51.560825,-0.44158
Ilford,51.559142,0.068685
Imperial Wharf,51.474939,-0.182838
Island Gardens,51.48795,-0.010493
Isleworth,51.475037,-0.337329
Iver,51.508502,-0.50674
Kenley,51.3246,-0.10122
Kennington,51.488662,-0.105071
Kensal Green,51.530524,-0.224713
Kensal Rise,51.534215,-0.220821
Kensington (Olympia),51.49788,-0.210379
Kent House,51.412718,-0.045816
Kentish Town,51.55001,-0.140471
Kentish Town West,51.546548,-0.146756
Kenton,51.581496,-0.315217
Kew Bridge,51.490005,-0.288846
Kew Gardens,51.476789,-0.285381
Kidbrooke,51.46269,0.0283
Kilburn,51.546944,-0.204633
Kilburn High Road,51.537268,-0.191113
Kilburn Park,51.535136,-0.193966
King George V,51.502009,0.062206
King Henry's Drive,51.345364,-0.020265
King's Cross,51.530798,-0.122756
Kings Cross St. Pancras,51.530312,-0.123872
Kingsbury,51.584877,-0.278602
Kingston,51.412642,-0.301141
Kingswood,51.294723,-0.211233
Knightsbridge,51.501355,-0.160664
Knockholt,51.345752,0.130831
Ladbroke Grove,51.517211,-0.210198
Ladywell,51.456192,-0.019244
Lambeth North,51.49913,-0.111768
Lancaster Gate,51.511891,-0.17543
Langdon Park,51.518884,-0.015214
Langley,51.508062,-0.541771
Latimer Road,51.513958,-0.21746
Lea Bridge,51.566636,-0.036683
Lebanon Road,51.375199,-0.084974
Lee,51.449459,0.013365
Leicester Square,51.511291,-0.128242
Lewisham,51.464881,-0.012433
Leyton,51.558132,-0.006465
Leyton Midland Road,51.569364,-0.008066
Leytonstone,51.568522,0.00914
Leytonstone High Road,51.563807,0.008254
Limehouse,51.512312,-0.03938
Liverpool Street,51.517598,-0.08225
Lloyd Park,51.364276,-0.080746
